Player Name,Team,Position,Games Played,Total Points
Michael Clark,Falcons,QB,7,180.65
Jeffrey Berger,Raiders,TE,12,129.83
James Johnson,Seahawks,DEF,14,110.05
Michael Evans,Rams,DEF,9,75.81
Bryan Hall,Chiefs,DEF,16,148.28
Dean Lawson,49ers,WR,14,231.97
Justin Landry,Falcons,QB,1,36.66
Anthony Mooney,Bears,RB,2,42.84
Kevin Young,Broncos,DEF,15,166.26
Daniel Mcclain,Eagles,WR,15,297.91
David Terry,Patriots,QB,13,410.81
Dennis Ross,Seahawks,QB,7,198.73
Tyrone Wells,Packers,QB,3,92.58
Andrew Marshall,Jaguars,TE,14,121.1
Robert Williamson,Rams,TE,9,84.85
Eric Kennedy,Jets,K,15,102.38
Justin Lawson,Bears,DEF,8,64.84
Daniel Hawkins,Titans,DEF,11,106.09
Daniel Huffman,Buccaneers,RB,6,106.35
Jeffrey Matthews,Redskins,WR,16,220.67
Eric Curtis,Eagles,DEF,13,132.84
Patrick Watts,Saints,DEF,8,85.72
Ricky Murphy,Buccaneers,WR,13,244.91
Brandon Harrison,Redskins,K,5,47.63
Mark Santiago,Cowboys,QB,2,53.49
Cameron Turner,Bills,TE,12,137.5
Eric Martin,Rams,WR,14,271.6
Thomas Bright,Seahawks,DEF,9,80.18
Edward Estrada,Colts,K,11,75.67
Daniel Martinez,Patriots,QB,4,105.72
Ronald Kaiser,Saints,K,16,127.46
Patrick Sanders,Buccaneers,WR,9,129.97
Patrick Medina,Rams,WR,10,132.26
Joseph Nguyen,Buccaneers,K,7,44.78
Christopher Lawson,Steelers,QB,10,308.73
Matthew Raymond,Rams,WR,9,153.36
Randy Frazier,Chiefs,RB,13,287.2
Austin Huffman,Jaguars,QB,10,282.29
David Miller,Texans,QB,14,367.05
Matthew Aguilar,Rams,QB,10,288.76
Clifford Juarez,Colts,TE,3,29.14
David Guzman,Bills,DEF,3,29.63
Angel Alexander,Jets,K,7,62.8
Daniel Green,Packers,WR,1,13.05
Jerry Durham,Buccaneers,K,12,89.87
Shawn Brown,Broncos,TE,5,45.4
Eric Williams,Cowboys,RB,3,63.48
Craig Gomez,Falcons,DEF,5,74.48
Andrew Hines,Rams,K,7,74.81
Nicholas Jones,Rams,DEF,6,65.34
Juan Cannon,Chargers,TE,5,49.51
William Newman,Chargers,TE,3,40.43
Jeffrey Moreno,Jaguars,WR,15,249.7
David Mckinney,Jets,RB,10,206.98
Martin Carrillo,Packers,K,15,121.27
Robert Fletcher,Buccaneers,RB,14,233.38
David Espinoza,Saints,TE,11,122.72
Jeremy Hall,Titans,QB,2,57.01
Michael Bradley,Bengals,TE,16,190.65
Timothy Mitchell,Panthers,WR,1,24.75
Scott Stuart,Buccaneers,RB,14,283.99
Nicholas Patton,Jets,QB,1,21.2
Joseph Lewis,Dolphins,QB,15,422.04
Jeffrey Mckay,Seahawks,K,11,92.88
Derek Johnson,Titans,WR,5,85.71
Gregory Taylor,Bengals,DEF,14,134.45
Andrew Mahoney,Bills,DEF,1,1
Michael Mitchell,Giants,WR,10,178.47
Kenneth Roman,Vikings,WR,14,238.18
Robert Kent,Chargers,K,3,30.08
Robert Berry,Cardinals,QB,2,39.28
Thomas Baldwin,Steelers,DEF,9,102.58
Paul Rodriguez,Bills,TE,10,101.89
Luis Kent,Jets,TE,16,189.27
Chase Moran,Chargers,WR,1,7.6
Aaron Kaufman,Bengals,DEF,2,28.29
Michael Barnes,Vikings,RB,4,86.95
Kirk Nguyen,Cowboys,K,6,38.6
Daniel Reid,Lions,WR,2,34.34
Jason Harper,Panthers,QB,2,50.62
Zachary Cannon,Patriots,WR,15,253.94
Travis Price,Saints,WR,12,226.62
David Young,Jets,K,16,140.74
Clarence Butler,Saints,QB,7,179.11
Benjamin Brown,Falcons,QB,11,296.13
Steven Smith,Titans,TE,1,4.35
Michael Evans,Chargers,WR,4,55.57
Jerry Whitney,Bills,DEF,10,119.68
Michael Blair,Packers,RB,14,290.06
Travis Powell,Chargers,K,16,119.65
Brian Mitchell,Bengals,QB,6,160.79
Lawrence Crane,Giants,QB,13,338.93
David Lopez,Titans,DEF,15,153.09
William Gill,Titans,DEF,3,21.29
Aaron Bennett,Texans,RB,13,266.66
Darryl Lee,Saints,K,1,4.43
Nicholas Wheeler,Steelers,QB,14,386.26
Joseph Davis,Cardinals,RB,7,124.16
Sean Carey,Browns,K,10,69.59
Edward Miller,Ravens,DEF,3,38.3
James Francis,Texans,TE,7,60.28
Shane Cox,Patriots,WR,10,143.42
Christopher Mcguire,Colts,QB,1,19.22
Christopher Hanson,Eagles,TE,4,40.27
Bryce Jackson,Cardinals,WR,7,106.09
Benjamin Martin,Chiefs,QB,13,347.28
Michael Donovan,Vikings,QB,9,274.03
Shawn Mccoy,Seahawks,QB,16,419.98
David Ware,Jets,DEF,7,55.75
Richard Johnson,Titans,WR,1,22.35
Joshua Williams,Texans,QB,10,339.19
Mark Taylor,Redskins,K,3,8.91
Shawn Barnes,Cowboys,WR,16,242.34
Joseph Mann,49ers,QB,4,130.66
Michael Alvarez,Ravens,WR,10,168.95
Scott Zuniga,Patriots,RB,12,224.22
Chris Nelson,Texans,RB,7,145.58
Alexander Conway,Jaguars,K,12,94.59
Raymond Faulkner,Lions,QB,9,264.52
Charles Meyers,Jets,QB,11,301.08
Bradley Wood,Jets,TE,7,85.49
Jeffrey Ballard,Raiders,TE,6,72.84
Jonathan Quinn,Broncos,K,2,18.17
Daniel West,Falcons,K,11,76.14
Jeremy Price,Colts,TE,16,203.82
Joshua Holloway,Chargers,WR,9,128.47
Troy Martinez,49ers,RB,12,249.97
Jeffery Thompson,Cardinals,TE,8,78.82
Adam Watkins,Texans,K,10,76.33
Tyler Atkinson,Raiders,K,5,31.53
Kyle Schmidt,Giants,QB,14,365.16
Andrew Rose,Cardinals,RB,9,191.56
Mark Williams,Cowboys,RB,4,83.31
Brian Fox,Vikings,QB,10,301.8
Ronald Glass,Vikings,QB,11,294.28
Antonio Stephens,Colts,DEF,9,117.43
Joseph Macias,Broncos,QB,12,343.16
David Tucker,Falcons,TE,11,119.99
Nicholas Garrison,Lions,QB,7,176.49
Patrick Robinson,Steelers,WR,15,321.86
Andrew Edwards,Cowboys,DEF,3,31.5
Juan Johnston,Packers,K,5,35.27
Billy Ferguson,Bills,WR,8,114.82
Mario Jackson,Ravens,RB,5,100.41
Benjamin Potter,Chiefs,WR,8,148.07
Clinton Morales,Panthers,DEF,10,101.35
Michael Wagner,Vikings,RB,6,135.56
Christopher Lopez,Jets,WR,1,10.19
Kevin Serrano,Chiefs,K,11,82.48
Steven Rivera,Vikings,WR,3,48.9
Matthew Turner,Raiders,DEF,15,153.65
Paul Jones,Dolphins,RB,5,103.14
Adam Howard,Dolphins,RB,12,254.4
Keith Lewis,Falcons,QB,7,206.05
Daniel Parker,49ers,QB,1,15.1
Shane Smith,Rams,RB,9,176.85
Dennis Lowery,Rams,K,5,33.42
Michael Fleming,Buccaneers,DEF,3,36.76
John Smith,Panthers,DEF,6,62.17
Billy Bird,Seahawks,DEF,15,191.96
Nicholas Harris,Saints,RB,8,144.57
Michael Young,Jaguars,QB,1,21.26
Michael Boyle,Eagles,WR,1,24.39
Richard Owens,Jaguars,WR,15,317.73
Ricky Singh,Steelers,RB,12,246.58
Gary Mason,Lions,K,15,94.24
Jesus Butler,Chargers,RB,2,35.19
Walter Briggs,Titans,WR,6,102.27
James Hernandez,Chiefs,RB,4,76.11
Matthew Matthews,49ers,WR,6,106.1
Adam Benitez,Titans,QB,5,178.27
Timothy Savage,Browns,K,5,23.79
Nathaniel Lawson,Bears,K,10,73.28
Troy Torres,Patriots,TE,1,4.29
Michael Reese,Bengals,DEF,13,119.24
Chad Ashley,Lions,TE,13,92.86
Alex Walls,Panthers,DEF,1,12.87
Raymond Long,Saints,K,8,57.38
Billy Gomez,49ers,WR,6,124.93
Michael Reyes,Bengals,QB,2,53.22
Lee Adams,Eagles,DEF,12,133.46
Philip Donaldson,Titans,QB,3,81.28
Adam Campbell,Bengals,QB,16,456.28
William Barr,Bears,DEF,14,147.52
Billy James,Chargers,RB,3,51.21
Terry Kaiser,Bills,K,6,48.07
Raymond Brown,Chiefs,RB,10,210.05
Daniel Stevens,Redskins,QB,15,415.18
James Murray,Eagles,K,10,79.42
Stephen Melendez,Raiders,DEF,16,185.92
Roy Lopez,Raiders,DEF,8,96.34
John White,Ravens,QB,3,75.02
Brandon Smith,Colts,RB,8,155.81
James Stephens,Titans,RB,7,142.98
Bryan Black,Chargers,RB,5,105.04
Anthony Rich,Colts,TE,4,28.33
Steven Douglas,Raiders,DEF,4,37.59
Alexander Carlson,Bears,DEF,16,136.7
John Harrison,Titans,QB,4,72.36
Dillon Davis,Ravens,TE,6,29.46
Daniel Love,Vikings,TE,4,44.39
Wayne Smith,Jaguars,QB,16,501.27
Jacob Green,Lions,QB,11,301.04
Justin Martin,Bills,TE,1,19.05
David Norris,Panthers,DEF,2,11.88
David Murray,Bears,TE,1,8.77
James Kim,Jaguars,QB,7,172.84
Jason Lee,Bengals,DEF,4,45.2
Christopher Ayala,Cardinals,K,2,19.89
Richard Friedman,Lions,K,4,28.34
Brian Ruiz,Jaguars,DEF,3,33.07
Christopher Bolton,Giants,TE,8,72.79
Bradley Ford,Panthers,K,12,88.4
Reginald Graham,Cowboys,TE,16,161.78
Mike Brady,Raiders,DEF,3,23.22
Philip Giles,Saints,WR,8,146.49
Curtis Hines,Jaguars,RB,6,111.64
Jason Trujillo,49ers,QB,15,411.75
Cameron Garcia,Vikings,DEF,10,103.82
Dylan Lowe,Chargers,WR,14,238.38
Robert Herrera,Dolphins,RB,8,140.49
Richard Johnson,Bengals,WR,2,20.96
Eric Kelly,Dolphins,DEF,2,13.68
Douglas Harrington,Broncos,DEF,1,17.65
Thomas Sharp,Bills,WR,4,78.27
Jared King,Lions,QB,14,441.88
David Ayers,Vikings,DEF,11,127.88
Steven Wilson,Chargers,TE,6,55.07
Tyler Curtis,Chargers,WR,5,84.67
David Gordon,Jets,QB,13,387.98
Vincent Stewart,Rams,RB,15,284.68
Timothy Moreno,Bengals,RB,1,26.18
Jerome James,Ravens,TE,12,131.37
Justin Walter,Packers,RB,8,139.38
Nicholas Finley,Texans,K,11,71.24
Jacob Davis,Jaguars,TE,16,150.91
Steve Alvarez,Steelers,RB,14,266.53
Shawn Anderson,49ers,QB,16,460.23
Jeffery Barnes,Eagles,TE,9,120.33
Zachary Davis,Dolphins,RB,15,342.5
Thomas Kane,Chiefs,WR,3,59.85
Michael Martinez,Jets,DEF,3,33.59
Eugene Kelley,Buccaneers,K,15,134.41
Terry King,Ravens,DEF,14,174.07
Anthony Harrison,Buccaneers,RB,10,228.73
Michael Lowery,Cowboys,QB,15,380.13
Michael Jimenez,Saints,DEF,15,194.83
Jeffrey Guzman,Broncos,K,13,106.73
Brett Christensen,Broncos,WR,2,30.51
Christopher Lopez,Redskins,K,16,110
Charles Ryan,Colts,TE,9,95.64
Tyler White,Colts,TE,10,78.19
Alexander Crawford,Colts,WR,3,82.05
Alexander Barrett,Seahawks,TE,1,18.92
Ernest Brown,Redskins,DEF,14,143.64
Bruce Dominguez,Vikings,K,15,119.29
Tim Peterson,Titans,WR,3,61.71
Aaron Smith,49ers,K,9,51.01
Victor Salas,Cowboys,WR,11,174.42
Donald Brooks,Steelers,WR,1,20.12
Albert Reyes,Redskins,RB,12,244.55
Shawn Holt,Chargers,TE,7,69.97
Justin Porter,Jaguars,K,15,115
Jim Wheeler,Giants,RB,12,246.81
Randall Peterson,Giants,TE,8,101.29
Alexander Glover,Patriots,RB,13,278.52
Anthony Mendez,Jets,RB,3,47.61
Austin Norton,Titans,RB,4,70.02
Christopher Hester,Falcons,WR,8,142.33
Lucas Davis,Bears,QB,3,73.53
Marc Rivera,Chiefs,DEF,3,43
Patrick Allen,Raiders,K,4,28.16
Christopher Simon,Vikings,K,5,45.37
Kenneth Alvarez,Bears,K,7,55.9
William Mcguire,Steelers,RB,8,153.02
Fernando Cooper,Rams,TE,8,65.13
Zachary Allen,Lions,QB,3,72.81
Juan Olsen,Jaguars,DEF,13,135.5
Christopher Edwards,Falcons,DEF,15,156.87
Anthony Randolph,Bengals,DEF,6,67.05
Anthony Smith,Chiefs,QB,3,95.46
Jerry Watson,Rams,DEF,7,66.01
Alfred Hughes,Bengals,DEF,6,38.73
John Hobbs,Colts,K,9,61.69
Craig Wagner,Bengals,TE,5,68.85
Michael Williamson,Packers,TE,14,178.65
Brandon Robles,Packers,QB,8,193.11
Todd Moyer,Panthers,K,16,153.08
Michael Cook,Browns,WR,2,42.33
Darren Hughes,Lions,DEF,13,99.25
Curtis Lewis,Texans,WR,10,155.95
David Ward,Saints,K,8,59.97
Mathew Watson,Bills,RB,11,217.33
Tyler Gomez,Eagles,RB,13,288.02
Cameron Myers,Jaguars,QB,10,218.61
Matthew Smith,Ravens,TE,8,64.65
Hayden Klein,49ers,DEF,9,122.61
Miguel Young,Cardinals,RB,11,231.75
Kevin Aguirre,Patriots,RB,5,95.78
Alan Blankenship,Jaguars,DEF,11,114.1
Richard Sanchez,Packers,RB,16,298.94
Jacob Clark,Falcons,RB,11,236.49
Justin Fitzpatrick,Lions,RB,9,173.15
Steven Smith,49ers,RB,1,17.4
Robert Heath,Bengals,K,15,117.68
John Roberts,Vikings,QB,9,225.02
Darryl Robinson,Colts,K,9,53.66
Daniel Parker,Bills,K,12,101.22
Justin Douglas,Ravens,RB,11,189.78
Joseph Wolfe,Raiders,TE,5,46.36
Joseph Peterson,Raiders,DEF,10,101.5
Robert Molina,49ers,K,11,77.43
Kevin Mcintyre,Ravens,K,1,11.5
Terry Charles,Dolphins,RB,15,273.56
George Howard,Broncos,TE,5,42.56
Justin Walton,49ers,WR,14,218.81
Jacob Wilson,Bengals,WR,13,235.72
William Smith,Texans,RB,8,132.47
Sean Johnson,Packers,RB,12,220.43
Matthew Lee,Bills,TE,15,167.1
Louis Rice,Eagles,QB,10,323.59
Jeffrey Ortiz,Redskins,K,3,30.85
Craig Weaver,Bears,QB,14,329.59
Robert King,Patriots,WR,2,32.24
Marc Cantu,Jaguars,DEF,5,48.24
Wyatt Chen,Cowboys,RB,4,73.67
Mitchell Simpson,49ers,WR,14,247.07
Adam Charles,Vikings,WR,6,95.31
Antonio Clark,Dolphins,RB,4,45.75
Kevin Krause,Redskins,WR,2,47.6
Jeremy Cole,Chiefs,DEF,2,26.15
Joseph Adams,Eagles,DEF,6,81.24
Christopher Davies,Ravens,TE,12,132.14
Willie Thompson,Chiefs,TE,16,123.28
David Figueroa,Bills,QB,13,362.01
Ethan Gill,Texans,K,7,43.96
Cody Craig,Lions,K,5,38.67
Ian Silva,Browns,K,7,45.64
Zachary Henderson,Lions,QB,10,287.74
Jorge Clark,Packers,QB,8,216.41
Jesse Allen,Eagles,K,9,89.55
Tony Turner,Bills,QB,9,199.74
Richard Brown,Jets,DEF,14,122.47
John Franco,Falcons,TE,9,102.19
Ian Galvan,Broncos,K,8,66.65
William Rich,Browns,TE,3,19.61
Joseph Black,Lions,TE,10,110.69
John Palmer,Rams,QB,2,55.58
Daniel Willis,Packers,TE,2,20.29
Michael Mcmillan,Jets,TE,1,3.48
Aaron Kennedy,Broncos,RB,15,279.27
Adam Montoya,Cardinals,WR,3,46.06
Christopher Mason,Seahawks,WR,9,173.84
Derrick Rogers,Panthers,QB,14,349.44
Brian Kelly,49ers,K,2,8
Mario Ray,Cardinals,RB,11,212.09
Gregory Brown,Texans,WR,7,121.1
Kyle Roberts,Titans,RB,6,141.42
Justin Owens,Patriots,TE,15,112.61
Thomas Miller,Colts,WR,6,100.98
Bryan Austin,Chiefs,WR,7,126.34
Kevin Patel,Cowboys,K,9,71.54
Daniel West,Bills,K,6,53.46
Cody Barnett,Saints,RB,13,266.35
Kelly Martin,Colts,QB,7,191.27
Larry Thompson,Jaguars,QB,10,243.58
Donald Brock,Eagles,WR,11,195.59
Nicholas Anderson,Saints,DEF,11,116.93
Miguel Hernandez,Rams,DEF,14,84.99
Steven Garcia,Titans,WR,7,128.86
Michael Schmidt,Dolphins,TE,12,94.87
Patrick Wilson,Texans,RB,3,57.43
Micheal Jones,Chiefs,TE,16,152.45
Richard Reyes,Eagles,DEF,16,140.45
Jacob Lopez,Jaguars,WR,8,151.17
Craig Tucker,Cardinals,TE,4,49.56
Nicholas Turner,Falcons,RB,6,119.02
Barry Bush,Cardinals,K,13,115.03
Paul Johnson,Cowboys,QB,11,306.58
Edward Frost,Falcons,QB,10,289.39
Benjamin Montgomery,Vikings,RB,15,265.93
Andrew Garcia,Buccaneers,K,2,18.46
Jeffrey Meadows,Lions,DEF,16,176.61
Larry Daniels,Titans,DEF,9,98.12
Frank Wheeler,Jets,WR,11,177.74
Richard Daniel,Raiders,DEF,13,143.12
Ethan Jackson,Jaguars,RB,6,134.01
Harold Henry,Texans,WR,4,86.61
Christopher Ford,Colts,QB,12,327.67
Mark Kim,Chiefs,DEF,13,120.94
Jon Burke,Titans,TE,2,31.06
Timothy Miller,Panthers,QB,6,160
Rodney Johnson,Jets,TE,3,34.16
Jeremy Smith,Jaguars,RB,15,288.1
Kurt Swanson,Rams,K,10,73.34
David Ford,Bills,K,8,49.87
Troy Gordon,Buccaneers,WR,9,99.04
Charles Porter,Falcons,RB,7,137.73
James Hicks,Falcons,K,3,29.66
Fred Stafford,Saints,K,8,57.23
Victor Page,Raiders,RB,2,24.84
Walter Blackwell,Broncos,TE,8,76.45
Eric Baker,Lions,TE,2,22.01
David May,Cowboys,TE,1,9.71
William Jacobs,Jaguars,TE,8,114.52
Perry Cunningham,Cardinals,K,15,108.62
Andrew Guzman,Chiefs,WR,15,262.45
Jason Hernandez,Panthers,RB,13,297.9
Christopher Ortiz,Rams,K,3,25.29
Gerald Villanueva,Dolphins,RB,1,16.92
Tim Parker,Colts,QB,5,135.37
Sean Riley,Packers,K,4,32.18
James Thomas,Bills,DEF,4,59.42
David Scott,Browns,K,16,117.46
Timothy Jennings,Saints,TE,9,94.58
Kenneth Cobb,Chargers,DEF,4,44.67
Walter Taylor,Texans,RB,10,195.51
Charles Baker,Eagles,WR,12,208.74
Christian West,Packers,RB,15,280.93
George Nguyen,Vikings,WR,5,72.64
Eric Jenkins,Panthers,WR,9,168.44
Patrick Evans,Falcons,TE,12,125.42
John Garner,Jaguars,RB,1,16.16
Darryl Palmer,Bears,K,16,130.17
Anthony Garcia,Cowboys,TE,5,29.9
James Johnson,Colts,QB,12,330.85
Kevin Johnson,Lions,K,10,101.24
Phillip Smith,Dolphins,TE,8,63.44
Thomas Cummings,Raiders,K,2,16.71
Zachary Armstrong,Patriots,DEF,10,81.03
Richard Watson,Packers,DEF,15,166.81
Troy Greene,Buccaneers,DEF,4,32.94
